
rio,ponto,data,ph,od,turbidez,dbo,coliformes,p_total,nt_total,temperatura,tds,lat,lon
BURANHEM,FBS-BRA-900,2020-03-04,6.46,5.17,20.2,3,2.4,0.02,1.0,26.1,104,-16.5064444,-39.4790556
BURANHEM,FBS-BRA-900,2020-12-01,6.75,5.2700000000000005,40.4,6,1.3,0.02,1.0,24.4,80,-16.5064444,-39.4790556
BURANHEM,FBS-BRA-900,2021-05-18,7.39,8.46,18.9,3,2.3,0.02,1.0,22.2,74,-16.5064444,-39.4790556
BURANHEM,FBS-BRA-900,2021-05-18,7.39,8.46,18.9,3,2.3,0.02,1.0,22.2,74,-16.5064444,-39.4790556
BURANHEM,FBS-BRA-900,2021-10-06,7.51,7.14,8.2,3,1.4,0.02,1.0,24.3,80,-16.5064444,-39.4790556
BURANHEM,FBS-BRA-900,2022-03-11,4.76,6.29,49.5,3,3.5,0.03,1.0,25.8,71,-16.5064444,-39.4790556
BURANHEM,FBS-BRA-900,2022-06-10,6.99,6.4,20.3,3,1.0,0.02,1.0,27.5,65,-16.5064444,-39.4790556
BURANHEM,FBS-BRA-900,2022-10-13,7.35,6.7,12.7,3,7.8,0.02,1.0,26.8,66,-16.5064444,-39.4790556
BURANHEM,FBS-BRA-900,2023-05-24,8.239999999999998,5.73,16.7,3,3.3,0.02,1.0,24.7,60,-16.5064444,-39.4790556
BURANHEM,FBS-BRA-900,2023-09-19,7.18,6.64,23.2,3,1.8,0.02,1.0,24.9,69,-16.5064444,-39.4790556
BURANHEM,FBS-BRA-900,2023-11-10,8.209999999999999,5.3,39.8,3,3.5,0.02,1.0,27.4,66,-16.5064444,-39.4790556
BURANHEM,FBS-BRA-900,2024-02-20,7.18,6.18,48.2,3,1.7,0.04,1.1,24.6,56,-16.5064444,-39.4790556
BURANHEM,FBS-BRA-900,2024-05-30,8.59,6.68,20.9,3,4.9,0.02,1.0,24.0,63,-16.5064444,-39.4790556
BURANHEM,FBS-BRA-900,2024-09-04,7.44,7.23,11.1,3,5.4,0.04,1.0,25.9,58,-16.5064444,-39.4790556
BURANHEM,FBS-BRH-250,2020-03-03,6.52,6.03,63.5,3,7.9,0.02,1.0,30.1,119,-16.4369444,-39.6277778
BURANHEM,FBS-BRH-250,2020-12-01,6.91,5.359999999999999,14.8,5,1.7,0.08,1.0,28.7,50,-16.4369444,-39.6277778
BURANHEM,FBS-BRH-250,2021-05-18,6.96,8.4,4.7,3,4.9,0.02,1.0,23.5,58,-16.4369444,-39.6277778
BURANHEM,FBS-BRH-250,2021-05-18,6.96,8.4,4.7,3,4.9,0.02,1.0,23.5,58,-16.4369444,-39.6277778
BURANHEM,FBS-BRH-250,2021-10-05,8.01,7.26,3.9,3,4.9,0.02,1.0,27.1,58,-16.4369444,-39.6277778
BURANHEM,FBS-BRH-250,2022-03-10,6.970000000000001,6.52,18.3,3,9.2,0.04,1.0,26.5,51,-16.4369444,-39.6277778
BURANHEM,FBS-BRH-250,2022-06-09,6.2700000000000005,6.8,5.1,3,1.7,0.02,1.0,27.6,63,-16.4369444,-39.6277778
BURANHEM,FBS-BRH-250,2022-10-13,7.49,6.3,4.8,3,4.9,0.02,1.0,30.0,52,-16.4369444,-39.6277778
BURANHEM,FBS-BRH-250,2022-11-25,6.44,6.7,62.3,3,9.2,0.05,1.0,28.4,50,-16.4369444,-39.6277778
BURANHEM,FBS-BRH-250,2023-05-24,8.19,6.13,9.0,4,7.9,0.02,1.0,27.4,50,-16.4369444,-39.6277778
BURANHEM,FBS-BRH-250,2023-09-19,7.08,7.05,6.8,3,4.5,0.03,1.0,26.8,56,-16.4369444,-39.6277778
BURANHEM,FBS-BRH-250,2023-11-09,7.55,5.73,9.1,3,1.6,0.02,1.0,28.7,51,-16.4369444,-39.6277778
BURANHEM,FBS-BRH-250,2024-02-20,7.55,5.96,112.0,3,1.7,0.08,1.9,30.1,50,-16.4369444,-39.6277778
BURANHEM,FBS-BRH-250,2024-05-30,8.18,6.39,7.6,3,2.4,0.03,1.0,30.5,50,-16.4369444,-39.6277778
BURANHEM,FBS-BRH-250,2024-09-04,7.8,7.58,5.8,3,2.3,0.02,1.0,29.1,50,-16.4369444,-39.6277778
BURANHEM,FBS-BRH-300,2020-03-04,6.39,6.7,11.4,7,1.3,0.03,1.0,28.7,60,-16.4133889,-39.5873056
BURANHEM,FBS-BRH-300,2020-12-01,6.99,5.21,21.6,5,2.3,0.03,1.0,29.8,50,-16.4133889,-39.5873056
