rio	campanha	ponto	data	iqa	iet	grupo	parametro	classe	unidade	padrao_legal	valor	lat	lon
BURANHEM	Campanha 1 - 2020	FBS-BRA-900	04/03/2020	62	54	Biológicos - Água	clorofila	Classe 2 - Doce	µg/L	Máximo 30	2,56	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2020	FBS-BRA-900	04/03/2020	62	54	Biológicos - Água	Colif. termo	Classe 2 - Doce	NMP/100mL	NE	2,4X10^3	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2020	FBS-BRA-900	04/03/2020	62	54	Físico - Ar	Temperatura do Ar	Classe 2 - Doce	ºC	NE	28	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2020	FBS-BRA-900	04/03/2020	62	54	Físicos - Água	Condutividade	Classe 2 - Doce	µS/cm	NE	125	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2020	FBS-BRA-900	04/03/2020	62	54	Físicos - Água	Salinidade	Classe 2 - Doce	o/oo	NE	<0,1	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2020	FBS-BRA-900	04/03/2020	62	54	Físicos - Água	Sólidos em suspensão	Classe 2 - Doce	mg/L	NE	<50	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2020	FBS-BRA-900	04/03/2020	62	54	Físicos - Água	Sólidos totais	Classe 2 - Doce	mg/L	NE	122	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2020	FBS-BRA-900	04/03/2020	62	54	Físicos - Água	STD	Classe 2 - Doce	mg/L	Máximo 500	104	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2020	FBS-BRA-900	04/03/2020	62	54	Físicos - Água	Temperatura	Classe 2 - Doce	ºC	NE	26,1	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2020	FBS-BRA-900	04/03/2020	62	54	Físicos - Água	Turbidez	Classe 2 - Doce	NTU	Máximo 100	20,2	-16,5064444	-39,4790556
BURANHEM	Campanha 1 - 2020	FBS-BRA-900	04/03/2020	62	54	Químicos - Água	% Saturação de Oxigênio Dissolvido	Classe 2 - Doce	%	NE	62,2	-16,5064444	-39,4790556
