rio,ponto,data,ph,od,turbidez,dbo,coliformes,p_total,nt_total,temperatura,tds,lat,lon
BURANHEM,FBS-BRH-250,2020-03-03,6.52,6.03,63.5,3,7.9,0.02,1.0,30.1,119,-16.4369444,-39.6277778
BURANHEM,FBS-BRH-250,2022-03-10,6.970000000000001,6.52,18.3,3,9.2,0.04,1.0,26.5,51,-16.4369444,-39.6277778
BURANHEM,FBS-BRH-250,2023-05-24,8.19,6.13,9.0,4,7.9,0.02,1.0,27.4,50,-16.4369444,-39.6277778
BURANHEM,FBS-BRH-250,2024-02-20,7.55,5.96,112.0,3,1.7,0.08,1.9,30.1,50,-16.4369444,-39.6277778
BURANHEM,FBS-BRH-250,2024-09-04,7.8,7.58,5.8,3,2.3,0.02,1.0,29.1,50,-16.4369444,-39.6277778
BURANHEM,FBS-BRH-300,2020-03-04,6.39,6.7,11.4,7,1.3,0.03,1.0,28.7,60,-16.4133889,-39.5873056
BURANHEM,FBS-BRH-300,2022-03-10,5.87,6.51,68.6,4,5.4,0.03,1.0,25.8,68,-16.4133889,-39.5873056
BURANHEM,FBS-BRH-300,2023-05-24,8.53,6.19,10.4,4,2.3,0.02,1.0,25.5,52,-16.4133889,-39.5873056
BURANHEM,FBS-BRH-300,2024-02-20,7.08,7.51,141.0,3,1.6,0.1,1.8,26.7,50,-16.4133889,-39.5873056
BURANHEM,FBS-BRH-300,2024-09-04,8.1,7.3,5.4,3,7.9,0.03,1.0,28.6,52,-16.4133889,-39.5873056
BURANHEM,FBS-BRH-450,2020-12-02,6.609999999999999,8.19,24.6,6,1.6,0.1,1.0,23.9,64,-16.4241667,-39.3536111
BURANHEM,FBS-BRH-450,2022-06-09,7.23,6.2,6.1,3,6.8,0.02,1.0,26.7,58,-16.4241667,-39.3536111
BURANHEM,FBS-BRH-450,2023-05-24,8.19,5.59,8.8,3,7.9,0.03,1.0,26.2,50,-16.4241667,-39.3536111
BURANHEM,FBS-BRH-450,2024-02-20,7.57,6.05,28.7,3,9.2,0.05,1.2,28.4,50,-16.4241667,-39.3536111
BURANHEM,FBS-BRH-450,2024-09-04,7.74,6.05,4.0,3,1.1,0.04,1.0,29.1,50,-16.4241667,-39.3536111
BURANHEM,FBS-BRH-950,2022-06-10,7.18,6.0,22.0,3,1.3,0.06,4.0,25.1,9910,,
BURANHEM,FBS-BRH-950,2023-05-25,7.21,10.6,15.0,3,1.6,0.02,1.0,27.5,99,,
BURANHEM,FBS-BRH-950,2023-11-09,7.44,6.1,5.3,3,5.4,0.02,1.0,30.4,50,,
BURANHEM,FBS-BRH-950,2024-05-31,6.78,6.930000000000001,21.4,3,7.9,0.02,1.1,23.5,99,,
BURANHEM,FBS-BRH-950,2024-09-05,6.859999999999999,4.91,8.6,3,1.6,0.09,1.0,29.5,580,,

